nohup: ignoring input
/home/yhang/GAN/InfoGAN-PyTorch/train_classifier.py:148: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  target = torch.tensor(label.view(1, b_size), dtype=torch.long)
Random Seed:  2048
cuda:1  will be used.

-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[38/100][700/1230]	Loss_C: 0.0087
[38/100][800/1230]	Loss_C: 0.0103
[38/100][900/1230]	Loss_C: 0.0166
[38/100][1000/1230]	Loss_C: 0.0133
[38/100][1100/1230]	Loss_C: 0.0011
[38/100][1200/1230]	Loss_C: 0.0333
Time taken for Epoch 38: 10.73s
[39/100][100/1230]	Loss_C: 0.0082
[39/100][200/1230]	Loss_C: 0.0027
[39/100][300/1230]	Loss_C: 0.0033
[39/100][400/1230]	Loss_C: 0.0348
[39/100][500/1230]	Loss_C: 0.0019
[39/100][600/1230]	Loss_C: 0.0546
[39/100][700/1230]	Loss_C: 0.0017
[39/100][800/1230]	Loss_C: 0.0147
[39/100][900/1230]	Loss_C: 0.0122
[39/100][1000/1230]	Loss_C: 0.0300
[39/100][1100/1230]	Loss_C: 0.0125
[39/100][1200/1230]	Loss_C: 0.0050
Time taken for Epoch 39: 10.67s
[40/100][100/1230]	Loss_C: 0.0045
[40/100][200/1230]	Loss_C: 0.0021
[40/100][300/1230]	Loss_C: 0.0065
[40/100][400/1230]	Loss_C: 0.0145
[40/100][500/1230]	Loss_C: 0.0012
[40/100][600/1230]	Loss_C: 0.0258
[40/100][700/1230]	Loss_C: 0.0031
[40/100][800/1230]	Loss_C: 0.0342
[40/100][900/1230]	Loss_C: 0.0053
[40/100][1000/1230]	Loss_C: 0.0041
[40/100][1100/1230]	Loss_C: 0.0144
[40/100][1200/1230]	Loss_C: 0.0067
Time taken for Epoch 40: 10.47s
[41/100][100/1230]	Loss_C: 0.0024
[41/100][200/1230]	Loss_C: 0.0112
[41/100][300/1230]	Loss_C: 0.0047
[41/100][400/1230]	Loss_C: 0.0078
[41/100][500/1230]	Loss_C: 0.0358
[41/100][600/1230]	Loss_C: 0.0044
[41/100][700/1230]	Loss_C: 0.0179
[41/100][800/1230]	Loss_C: 0.0098
[41/100][900/1230]	Loss_C: 0.0079
[41/100][1000/1230]	Loss_C: 0.0167
[41/100][1100/1230]	Loss_C: 0.0128
[41/100][1200/1230]	Loss_C: 0.0118
Time taken for Epoch 41: 10.48s
[42/100][100/1230]	Loss_C: 0.0221
[42/100][200/1230]	Loss_C: 0.0054
[42/100][300/1230]	Loss_C: 0.0038
[42/100][400/1230]	Loss_C: 0.0064
[42/100][500/1230]	Loss_C: 0.0020
[42/100][600/1230]	Loss_C: 0.0297
[42/100][700/1230]	Loss_C: 0.0026
[42/100][800/1230]	Loss_C: 0.0098
[42/100][900/1230]	Loss_C: 0.0423
[42/100][1000/1230]	Loss_C: 0.0144
[42/100][1100/1230]	Loss_C: 0.0013
[42/100][1200/1230]	Loss_C: 0.0010
Time taken for Epoch 42: 10.69s
[43/100][100/1230]	Loss_C: 0.0064
[43/100][200/1230]	Loss_C: 0.0130
[43/100][300/1230]	Loss_C: 0.0055
[43/100][400/1230]	Loss_C: 0.0076
[43/100][500/1230]	Loss_C: 0.0179
[43/100][600/1230]	Loss_C: 0.0069
[43/100][700/1230]	Loss_C: 0.0424
[43/100][800/1230]	Loss_C: 0.0161
[43/100][900/1230]	Loss_C: 0.0228
[43/100][1000/1230]	Loss_C: 0.0151
[43/100][1100/1230]	Loss_C: 0.0119
[43/100][1200/1230]	Loss_C: 0.0082
Time taken for Epoch 43: 10.68s
[44/100][100/1230]	Loss_C: 0.0025
[44/100][200/1230]	Loss_C: 0.0089
[44/100][300/1230]	Loss_C: 0.0115
[44/100][400/1230]	Loss_C: 0.0044
[44/100][500/1230]	Loss_C: 0.0059
[44/100][600/1230]	Loss_C: 0.0009
[44/100][700/1230]	Loss_C: 0.0404
[44/100][800/1230]	Loss_C: 0.0078
[44/100][900/1230]	Loss_C: 0.0486
[44/100][1000/1230]	Loss_C: 0.0236
[44/100][1100/1230]	Loss_C: 0.0296
[44/100][1200/1230]	Loss_C: 0.0604
