nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=259, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1024, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1024, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): LeakyReLU(negative_slope=0.2)
    (6): Linear(in_features=256, out_features=128, bias=True)
    (7): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[12/100][1100/1230]	Loss_D: -31.4269	Loss_G: 7.8452
[12/100][1200/1230]	Loss_D: -30.4337	Loss_G: 7.1523
Time taken for Epoch 12: 15.78s
[13/100][100/1230]	Loss_D: -26.9470	Loss_G: 17.6854
[13/100][200/1230]	Loss_D: -38.2807	Loss_G: 13.4678
[13/100][300/1230]	Loss_D: -36.6652	Loss_G: 8.5599
[13/100][400/1230]	Loss_D: -28.2669	Loss_G: 17.7399
[13/100][500/1230]	Loss_D: -28.7640	Loss_G: 10.6156
[13/100][600/1230]	Loss_D: -39.8396	Loss_G: 10.2701
[13/100][700/1230]	Loss_D: -33.5368	Loss_G: 8.9616
[13/100][800/1230]	Loss_D: -41.4024	Loss_G: 10.2534
[13/100][900/1230]	Loss_D: -35.0172	Loss_G: 9.6549
[13/100][1000/1230]	Loss_D: -36.6489	Loss_G: 12.1047
[13/100][1100/1230]	Loss_D: -31.1452	Loss_G: 7.0688
[13/100][1200/1230]	Loss_D: -28.9028	Loss_G: 9.6998
Time taken for Epoch 13: 15.69s
[14/100][100/1230]	Loss_D: -37.4694	Loss_G: 9.6384
[14/100][200/1230]	Loss_D: -43.6790	Loss_G: 9.2765
[14/100][300/1230]	Loss_D: -30.4551	Loss_G: 10.6366
[14/100][400/1230]	Loss_D: -32.8101	Loss_G: 9.3002
[14/100][500/1230]	Loss_D: -29.7325	Loss_G: 9.5294
[14/100][600/1230]	Loss_D: -33.5914	Loss_G: 11.9832
[14/100][700/1230]	Loss_D: -30.4682	Loss_G: 9.9084
[14/100][800/1230]	Loss_D: -35.9171	Loss_G: 10.0271
[14/100][900/1230]	Loss_D: -37.5666	Loss_G: 10.3879
[14/100][1000/1230]	Loss_D: -30.4642	Loss_G: 9.8587
[14/100][1100/1230]	Loss_D: -37.5381	Loss_G: 9.0478
[14/100][1200/1230]	Loss_D: -37.4441	Loss_G: 10.0691
Time taken for Epoch 14: 15.76s
[15/100][100/1230]	Loss_D: -30.5783	Loss_G: 8.1950
[15/100][200/1230]	Loss_D: -28.1118	Loss_G: 9.6730
[15/100][300/1230]	Loss_D: -27.3373	Loss_G: 9.9809
[15/100][400/1230]	Loss_D: -25.9207	Loss_G: 10.4924
[15/100][500/1230]	Loss_D: -38.2852	Loss_G: 10.8001
[15/100][600/1230]	Loss_D: -35.7875	Loss_G: 9.5012
[15/100][700/1230]	Loss_D: -36.9222	Loss_G: 8.9486
[15/100][800/1230]	Loss_D: -30.5742	Loss_G: 7.9316
[15/100][900/1230]	Loss_D: -35.1561	Loss_G: 14.6135
[15/100][1000/1230]	Loss_D: -32.0119	Loss_G: 7.1543
[15/100][1100/1230]	Loss_D: -32.0277	Loss_G: 7.7340
[15/100][1200/1230]	Loss_D: -34.2624	Loss_G: 7.7052
Time taken for Epoch 15: 15.83s
[16/100][100/1230]	Loss_D: -42.0842	Loss_G: 11.9256
